PD_0_a,PD_0_b,PD_1_a,PD_1_b,PD_2_a,PD_2_b,PD_3_a,PD_3_b,PD_4_a,PD_4_b,PD_5_a,PD_5_b,PD_6_a,PD_6_b,PD_7_a,PD_7_b,PD_8_a,PD_8_b,PD_9_a,PD_9_b,PD_10_a,PD_10_b,PD_11_a,PD_11_b,PD_12_a,PD_12_b,PD_13_a,PD_13_b,PD_14_a,PD_14_b,PD_15_a,PD_15_b,PD_16_a,PD_16_b
1136.0,1164.0,,,,,,,,,1176.0,1204.0,1150.0,1184.0,,,1148.0,1180.0,1173,1216,1154,1202,1219,1251,1181.0,1212.0,1222.0,1250.0,,,,,1142,1175
2661.0,2738.0,2691.0,2718.0,2644.0,2680.0,2730.0,2772.0,2635.0,2698.0,2650.0,2680.0,2613.0,2656.0,,,2619.0,2642.0,2693,2721,2676,2720,2671,2860,2637.0,2685.0,2632.0,2684.0,,,,,2613,2654
4144.0,4253.0,4209.0,4243.0,4109.0,4240.0,4122.0,4156.0,,,4093.0,4128.0,4099.0,4213.0,,,,,4171,4201,4143,4197,4225,4327,4163.0,4199.0,4149.0,4194.0,,,,,4068,4123
,,5709.0,5730.0,,,5542.0,5576.0,,,5600.0,5694.0,5612.0,5670.0,,,5621.0,5683.0,5637,5687,5648,5688,5620,5714,5624.0,5696.0,,,,,,,5577,5626
,,7078.0,7150.0,7080.0,7224.0,7103.0,7150.0,7118.0,7163.0,7125.0,7159.0,7163.0,7202.0,,,7084.0,7107.0,7137,7137,7152,7200,7136,7320,7120.0,7194.0,7153.0,7198.0,,,,,7111,7159
,,8519.0,8552.0,8656.0,9706.0,8555.0,8584.0,,,8548.0,8665.0,8620.0,8773.0,,,8572.0,8617.0,8627,8627,8618,8676,8584,8616,,,8617.0,8653.0,,,,,8564,8624
10124.0,10289.0,10093.0,10127.0,10096.0,10133.0,10087.0,10127.0,10103.0,10151.0,,,10123.0,10158.0,,,10095.0,10134.0,10131,10162,10127,10179,10073,10128,10137.0,10203.0,10153.0,10191.0,,,,,10047,10105
11641.0,11838.0,,,11613.0,11657.0,,,,,11579.0,11607.0,,,,,,,11632,11716,11607,11659,11569,11607,11647.0,11685.0,11665.0,11717.0,,,,,11555,11593
